Date,Open,High,Low,Close,Adj Close,Volume
2/8/2021,25.89999962,25.95000076,25.60000038,25.75,22.42248726,28324374
2/9/2021,25.75,25.79999924,25.20000076,25.29999924,22.03063774,25243532
2/10/2021,25.39999962,25.79999924,25,25.39999962,22.11771584,33132159
2/11/2021,25.39999962,25.64999962,25.25,25.39999962,22.11771584,13586295
2/12/2021,25.5,25.54999924,25.29999924,25.39999962,22.11771584,15658220
2/15/2021,26.20000076,26.20000076,25.64999962,25.75,22.42248726,45629832
2/16/2021,25.89999962,26,25.79999924,25.89999962,22.5531044,34557518
2/17/2021,25.29999924,25.60000038,24.89999962,25.29999924,22.96151161,28638408
2/18/2021,25.45000076,25.79999924,25.39999962,25.64999962,23.27915955,21022422
2/19/2021,25.64999962,25.70000076,25.20000076,25.35000038,23.00688934,14542153
2/22/2021,25.29999924,25.39999962,24.95000076,25,22.6892395,16652770
2/23/2021,25,25.14999962,24.89999962,24.95000076,22.64386177,13021961
2/24/2021,24.89999962,25.20000076,24.85000038,24.89999962,22.59848213,10958830
2/25/2021,24.95000076,25.20000076,24.89999962,24.95000076,22.64386177,22761296
2/26/2021,24.85000038,24.95000076,24.5,24.64999962,22.37159157,36424500
3/1/2021,24.64999962,26.70000076,24.64999962,25.89999962,23.50605011,93579588
3/2/2021,26.10000038,26.29999924,25.45000076,25.64999962,23.27915955,48494934
3/3/2021,25.79999924,25.95000076,25.45000076,25.5,23.14302254,18806435
3/4/2021,25.25,25.70000076,25.25,25.39999962,23.05226898,21742960
3/5/2021,25.39999962,25.54999924,24.79999924,24.95000076,22.64386177,25255199
3/8/2021,25.10000038,25.25,24.79999924,24.85000038,22.5531044,16353985
3/9/2021,24.95000076,25.5,24.79999924,24.95000076,22.64386177,21380757
3/10/2021,25,25.10000038,24.85000038,24.85000038,22.5531044,11360743
3/12/2021,24.89999962,25.04999924,24.79999924,24.85000038,22.5531044,17086939
3/15/2021,24.89999962,24.95000076,24.5,24.64999962,22.37159157,17382950
3/16/2021,24.64999962,24.79999924,24.5,24.54999924,22.28083229,9649363
3/17/2021,24.54999924,24.60000038,24.10000038,24.14999962,21.91780281,14312130
3/18/2021,24.20000076,24.60000038,23.89999962,24.04999924,21.82704735,16168159
3/19/2021,24,24.10000038,23.5,23.95000076,21.73629189,15260549
3/22/2021,24,24.5,23.85000038,23.89999962,21.69091034,13817385
3/23/2021,23.89999962,24.10000038,23.75,23.79999924,21.60015297,13742805
3/24/2021,23.79999924,23.89999962,23.39999962,23.45000076,21.28250694,16788250
3/25/2021,23.45000076,23.54999924,22.89999962,22.95000076,20.82872391,19233029
3/26/2021,23.20000076,23.29999924,22.89999962,23.04999924,20.91947746,16323314
3/30/2021,23.14999962,23.29999924,22.89999962,22.95000076,20.82872391,14301425
3/31/2021,22.95000076,23.10000038,22.89999962,22.89999962,20.78334236,11770453
4/1/2021,23,23.20000076,22.70000076,22.85000038,20.73796463,18367745
4/5/2021,22.85000038,22.89999962,22.29999924,22.5,20.42031479,20106460
4/6/2021,22.5,22.5,21.89999962,22,19.96652985,25085603
4/7/2021,22,22.29999924,21.89999962,22.14999962,20.10266685,14507382
4/8/2021,22.10000038,22.35000038,21.89999962,21.95000076,19.92115402,18025782
4/9/2021,22,22.04999924,21.89999962,21.95000076,19.92115402,16396258
4/12/2021,21.85000038,21.85000038,20.79999924,20.85000038,18.92282677,25942981
4/13/2021,20.85000038,21.5,20.79999924,21.45000076,19.46736717,14831755
4/15/2021,21.29999924,21.35000038,20.89999962,21.10000038,19.14971542,18166238
4/16/2021,21.25,22,21.04999924,21.75,19.73963737,22174311
4/19/2021,21.20000076,21.35000038,20.89999962,21.14999962,19.19509506,10477070
4/20/2021,21.14999962,21.64999962,21.10000038,21.25,19.28585434,12199610
4/22/2021,21.14999962,21.29999924,21,21.04999924,19.10433769,8974995
4/23/2021,21.10000038,21.5,21,21.10000038,19.14971542,15602661
4/26/2021,21.10000038,21.35000038,20.95000076,21,19.05895996,12051423
4/27/2021,21.10000038,21.5,21.04999924,21.20000076,19.2404747,14181276
4/28/2021,21.29999924,21.35000038,21.10000038,21.14999962,19.19509506,14514238
4/29/2021,21.29999924,21.29999924,21.10000038,21.14999962,19.19509506,9521946
4/30/2021,21.04999924,21.39999962,21,21.29999924,19.33123207,11713860
5/3/2021,21.14999962,21.25,20.95000076,21.04999924,19.10433769,17512189
5/4/2021,21.14999962,21.14999962,20.89999962,20.95000076,19.01358223,26418223
5/5/2021,21,21.20000076,20.95000076,21,19.05895996,9381211
5/6/2021,21.10000038,21.14999962,21,21.10000038,19.14971542,7525053
5/7/2021,21.10000038,21.14999962,21,21.10000038,19.14971542,8322642
